Title,Content,Imagebefore
Πώς να γράψετε ένα πραγματικά καλό μυθιστόρημα,,011.jpg
Οικολογική κρίση και ελπίδα,,017.jpg
Ρώσικες Χριστουγεννιάτικες Ιστορίες,,009.jpg
η Επί του Όρους Ομιλία,,007.jpg
Ο ουρανός στη γη,,006.jpg
Η ενοχή της χαράς,,010.jpg
Αρχή ημέρας ,,012.jpg
"Παύλος ""Ο απόστολος των εθνών""",,016.jpg
Οι έμποροι των εθνών Αλέξανδρος Παπαδιαμάντης,,008.jpg
Μικρό Συναξάρι ,,015.jpg
ΠΕΡΙΚΛΗΣ Ουίλλιαμ Σαίξπηρ,,013.jpg
Φως Κάλλιστος Ware,,014.jpg
Συρία,,γανωτής.jpg
Ελάτε να διαβάσουμε παραμύθια,,Γαλάτεια.jpeg
Διαβάζοντας,,Προυστ.jpg
ΟΔΟΣ,,001.jpg
Επιστολές σε έναν νέο ποιητή,,επιστολές.jpg
Στου δρόμου τα μισά,,π. Φάρος.jpeg
Αύριο είναι Κυριακή,,Σουρέλη αυριο.jpg
Μια υπέροχη συναυλία,,Μια υπέροχη συναυλία.jpg
Τρεις αιώνες μια Ζωή - Φιλιώ Χαϊδεμένου,,Τρεις αιώνες.jpeg
Προσευχή κι Αγιότητα,,Προσευχή.jpg
Ζακέτα να πάρεις,,9786180133660.jpg
Χριστού Γέννησις - Το φοβερον Μυστήριον,,Κόντογλου.jpeg
Όλα του γάμου δύσκολα . . .,,π. Ανδρέας Κονάνος.jpg
"Γιώργος και Γαλάτεια Σουρέλη ""ζωή όλο φως""",,Σουρέλη.jpg
"Μικρά βιβλία ""Ο δρόμος για μια ζωή γεμάτη υγεία κι ευτυχία""","Με τη δύναμη της συνειδητότητας
μπορούμε να απελευθερωθούμε
από τα περιοριστικά μοτίβα
και να δημιουργήσουμε μια ζωή
γεμάτη υγεία κι ευτυχία

Άλλαξε τις σκέψεις σου, άλλαξε τη ζωή σου",008.jpg
"Μικρά βιβλία ""Η Θεοτόκος""","Πώς να Σε ονομάσουμε, Κυρά μας;  Με τί λόγια να Σου μιλήσουμε; Με ποιά εγκώμια να στεφανώσουμε το ιερό και δοξασμένο Σου κεφάλι, Εσένα που δίνεις τ’ αγαθά, την πλουτοδότρα , το στολίδι του γένους των ανθρώπων, το καμάρι της κτίσης, που χάρη σε Σένα έγινε αληθινά μακάρια;",007.jpg
"Μικρά βιβλία ""Άγιος Γρηγόριος ο Θεολόγος""","Ας γίνουμε όπως ο Χριστός,

επειδή κι ο Χριστός έγινε όπως εμείς.

Άς γίνουμε Θεοί για χάρη ΤΟΥ,

επειδή κι’ Εκείνος έγινε άνθρωπος για χάρη μας.

Πήρε το χειρότερο, για να μας δώσει το καλύτερο.

Πτώχευσε Εκείνος, για να πλουτίσουμε εμείς,

με τη δική Του φτώχεια.",006.jpg
"Μικρά βιβλία ""Άγιος Βασίλειος""","Ο Μ. Βασίλειος ήταν ένας ήλιος που φώτιζε ολόκληρη την οικουμένη, την ζέσταινε και την ζωογονούσε με τα λόγια του. Είχε η αρετή του το κάλλος του ήλιου, η θεολογία το μέγεθός του, η του λόγου δύναμη την διασπορά των ακτινών του. ""Εις πάσαν την γην εξήλθε ο φθόγγος αυτού και εις τα πέρατα της οικουμένης τα ρήματα αυτού"".",005.jpg
"Μικρά βιβλία ""Ο Άγιος Αλέξιος""","Με την πίστη και την ευσέβειά του, τη νηστεία και την προσευχή του, την ολοκληρωτική απάρνηση των εγκοσμίων, των τομών, της χλιδής και της δόξας και αυτής της οικογένειάς του ακόμη που κατείχε επιφανή θέση στη ρωμαϊκή κοινωνία και διακρινόταν για τα πλούτη και την οικονομική της ευμάρεια, τον έκαναν να αποτελεί τον γνήσιο τύπο του Κυρίου μας Ιησού Χριστού, του αιώνιου προτύπου ανθρώπου.",004.jpg
"Μικρά βιβλία ""Απόστολος Παύλος - Ο απόστολος των εθνών""","Ο Απόστολος Παύλος, με το παράδειγμά του απέδειξε, ότι «τα αδύνατα από τους ανθρώπους, δυνατά από τον Θεό», αρκεί να γίνουμε μιμητές του Χριστού. Γι’ αυτό προτρέπει: «Γίνεσθε μιμηταί του Θεού».",003.jpg
"Μικρά βιβλία ""Άγιος Ιωάννης της Κρονστάνδης""","Ο θεός δεν ακούει τα πολλά λόγια, αλλά τη διάθεση της καρδιάς.
Όταν προσεύχεσαι, να έχεις κατά νου πως είναι καλύτερα να πεις 5 λόγια από τα βάθη της καρδιάς σου, παρά δέκα χιλιάδες λόγια με τη γλώσσα σου μόνο.",002.jpg
"Μικρά βιβλία ""Άγιος Νεκτάριος Πενταπόλεως""","Αυτός που έχει καθαρή καρδιά, αυτός που η καρδιά του δεν τον κατηγορεί, αυτός που πράττει ενώπιον του Θεού το αγαθό, το ευάρεστο και το τέλειο, ο ακριβός τηρητής των εντολών του Κυρίου, αυτός έχει παρρησία στον Θεό, και ό,τι ζητήσει το λαμβάνει από Εκείνον.",001.jpg
Ζωή χωρίς όρια,,002.jpg
Ασταμάτητος,,001.jpg
"Μικρό βιβλίο ""Από την Καινή Διαθήκη . . . σαν παραμύθι""","O Ιησούς, ο Θεός της αγάπης στη γη.
Πριν 2000 περίπου χρόνια ο Θεός που είναι αγάπη, έστειλε  τον μονογενή Του Υιό τον Ιησού Χριστό στον κόσμο, να διδάξει στους ανθρώπους την αγάπη.  Το δρόμο που οδηγεί στη Βασιλεία Του.

Μας δίδαξε την αγάπη, την αλήθεια, την ομορφιά, σαν παραμύθι, με απλά λόγια, λόγια της καρδιάς. Λόγια καθημερινά, για το νερό, το κρασί, το ψωμί, για τη σπορά, το θερισμό, το ψάρεμα.

Λόγια που όταν μένουν βαθιά στην καρδιά μας, όταν τα κάνουμε πράξη στη ζωή μας, θα έχουμε πληρότητα και θα ζήσουμε κοντά Του γεμάτοι αληθινή χαρά.",Από την Καινή διαθήκη . . . σαν παραμύθι.jpg
"Μικρό βιβλίο ""Άγιος Πορφύριος""","Από το βιβλίο « Η Θεϊκή φλόγα »
 Άμα αγαπήσεις μ’ όλη τη δύναμη της καρδιάς σου το Χριστό μας, όλα θα είναι εύκολα. Και η υπακοή και η ταπείνωση. Τότε όλους τους αδελφούς θα τους αγαπάς αβίαστα και αυθόρμητα, με την ίδια του Χριστού αγάπη .

Διότι δεν θα είσαι εσύ που αγαπάς, αλλά ο ίδιος ο Χριστός που θα κατέχει την καρδιά σου.
 Άμα μπει ο Χριστός στην καρδιά σου, τη γεμίζει με την αγάπη Του. Τότε δεν υπάρχει μη τούτο, μη εκείνο, μη, μη … Μόνο αγάπη …Πάνω απ’ όλα η Αγάπη.",Άγιος Πορφύριος.jpg
"Μικρό βιβλίο ""Ο Γέρων Παΐσιος""","Η αγιασμένη μορφή του, το διαπεραστικό, φλογερό, βαθιά στοχαστικό, εξεταστικό βλέμμα με τα καθαρά εκείνα μάτια, που ατένιζαν το άπειρο κι ανέπνεαν αγάπη, απλότητα και γλυκύτητα, έμενε στην καρδιά κάθε συνομιλητή του.
Συνδεδεμένος με την ανεξάντλητη πηγή αγάπης, το Χριστό, διοχέτευε την αγάπη του σε όλους κι αυτή ποτέ δε στέρευε. Η αγάπη αυτή  «μιλούσε» κατευθείαν στην ψυχή του ανθρώπου.",Γέρων Παΐσιος.jpg
"Μικρό βιβλίο ""Πάτερ ημών""","Η προσευχή Πάτερ ημών είναι κάτι περισσότερο από προσευχή. Είναι μια επιφάνεια και αποκάλυψη εκείνου του πνευματικού κόσμου για τον οποίο είμαστε πλασμένοι, εκείνη η ιεραρχία των αξιών που μας επιτρέπει να ταχτοποιούμε καθετί στη θέση του μέσα στη ζωής μας. Το κάθε αίτημα ανοίγει ένα ολόκληρο πεδίο προσωπικής συνείδησης, μια ολόκληρη αποκάλυψη  για τον εαυτό μας.",Πάτερ ημών.jpg
"Μικρό βιβλίο ""Ευλογημένα Χριστούγεννα""","Χριστούγεννα, γιορτή για τα παιδιά
Τα Χριστούγεννα είναι μια γιορτή για τα παιδιά,
 όχι μόνο εξαιτίας του χριστουγεννιάτικου δέντρου
 που διακοσμούμε και φωτίζουμε,
 αλλά με έναν πολύ βαθύτερο τρόπο,
 επειδή μόνο τα παιδιά δεν ξαφνιάζονται για το ότι,
 όταν ο Θεός κατέρχεται στη γη, έρχεται ως παιδί.

Αυτή η εικόνα του Θεού ως παιδί, συνεχίζει να λάμπει  μέσα από τις εικόνες και τα αναρίθμητα έργα τέχνης, φανερώνοντας πως ότι είναι ουσιαστικότερο και πλέον χαρμόσυνο στο Χριστιανισμό βρίσκεται ακριβώς εδώ,  σ’ αυτήν την αιώνια παιδικότητα του Θεού.

Αλεξάνδρου  Σμέμαν",Ευλογημένα Χριστούγεννα.jpg
"Μικρό βιβλίο ""Το μυστήριο του γάμου""","Λόγια Αγίου Ιωάννου Χρυσοστόμου
Για τον γάμο και την οικογένεια.

Ο  άνδρας για τη γυναίκα του.
Πάνω από όλα εγώ βάζω τη δική σου αγάπη και τίποτε για μένα δεν είναι πιο δύσκολο και δυσάρεστο, όσο το να έχω κάποτε διαφορές μαζί σου.
Κι αν πρόκειται να τα χάσω όλα, κι αν πρέπει να γίνω  πιο φτωχός και από τον  Ίρο κι αν πρέπει να διατρέξω τους μεγαλύτερους κινδύνους κι αν χρειαστεί να υποφέρω  ό,τι δήποτε, όλα μου είναι υποφερτά και τα ανέχομαι, όταν έχω την συμπαράστασή σου.",Το μυστήριο του γάμου.jpg
"Μικρό βιβλίο ""Η θεια λειτουργία""","Θησαυρός ανεκτίμητος της Ορθοδοξίας μας είναι η θεία Λειτουργία. Αποτελεί τη μοναδική σε αξία έκφραση της λατρείας μας προ το Θεό και την πιο ουσιαστική πηγή δυνάμεως για τον πιστό.
Και αυτό, γιατί κατά τη διάρκειά της ο αδύναμος και ατελής άνθρωπος επικοινωνεί με τον απειροτέλειο και παντοδύναμο Θεό. Και όχι απλά επικοινωνεί, αλλά και ενώνεται με Αυτόν, μέσα από το Μυστήριο της Θείας Ευχαριστίας. «Θεούνται».
Και τι υπάρχει ανώτερο από αυτό;",Θεία Λειτουργία.jpg
Η Δύναμη της Αγάπης,,004.jpg
Με τον καιρό να είναι κόντρα,,Με τον καιρό να είναι κόντρα.jpg
Ο Θεός δεν θέλει τον πόνο των ανθρώπων,,Ο Θεός δεν θέλει τον πόνο των ανθρώπων.jpg
Το Μυστήριο της Τέχνης,,Toμυστήριο της τέχνης.jpg
Στο βάθος κήπος,,Στο Βάθος κήπος.jpg
Οι 5 γλώσσες της αγάπης,,Οι 5 γλώσσες της αγάπης.jpg
Τα 7 λάθη που κάνουν οι γονείς,,Τα 7 λάθη που κάνουν οι γονείς.jpg
Τελευταία μας ελπίδα η πρωτη μας αγάπη,,Τελευταία μας ελπίδα η πρώτη μας αγάπη.jpg
Αντίο Συρία,,Αντίο Συρία.jpg
Μέρες αποκάλυψης στην Ιωνία,,Μέρες αποκάλυψης στην Ιωνία.jpg
Η κραυγή μουπρος Σε ελθέτω,,Η κραυγή μου προς Σε ελθέτω.jpg
«Αδελφοί Καραμάζοφ»,,ντοστογιέφκι.jpg
«Με ποιον μιλάς ψυχή μου»,,με ποιον μιλάς ψυχή μου.jpg
«Η δύναμη της προσφοράς»,,η δύναμη της προσφοράς.jpg
«Οικογένεια ώρα μηδέν»,"""...Μέσα λοιπόν σ' αυτήν τη σύγχρονη οικογένεια που, όλο και πιο συχνά, απομένει ""μισή"" από διαζύγια, συμβιώσεις εκτός γάμου ή άγαμες μητέρες και μονογονεϊκές οικογένειες, μεγαλώνουν συνήθως τα μοναχικά παιδιά των διαμερισμάτων, σε πολυκατοικίες όπου οι γείτονες μπορεί και να μη λένε ούτε ""καλημέρα"". Αυτά τα μοναχικά παιδιά γεμίζουν την ανάγκη τους για επικοινωνία με άθλια τηλεοπτικά προγράμματα και λαμπερά, αλλά σαθρά και εκμαυλιστικά, πρότυπα. Είναι παιδιά των οποίων οι γονείς νοιάζονται για το σώμα τους και το μυαλό τους, και τα φορτώνουν συνήθως με ιδιαίτερα μαθήματα, φροντιστήρια, ξένες γλώσσες, γυμναστήρια, πιάνο, μπαλέτα και κολυμβητήρια, αλλά αφήνουν κλειστή και σιωπηλή την ψυχή τους..."".

Αυτές είναι μερικές μόνο από τις καίριες διαπιστώσεις της συγγραφέως σχετικά με τα όσα συμβαίνουν στη σύγχρονη ελληνική οικογένεια. Όμως, στο κείμενό της δεν περιορίζεται απλώς σε διαπιστώσεις και αναλύσεις. Με απλότητα, σαφήνεια και αμεσότητα, συχνά και με ζωντανά παραδείγματα, που πηγάζουν από τη μακροχρόνια συναναστροφή της με παιδιά διαφόρων ηλικιών, προχωρεί σε ουσιαστικές και εφαρμόσιμες στην καθημερινότητα προτάσεις, που μπορεί να βοηθήσουν σημαντικά στο ν' αποκτήσει η οικογενειακή ζωή την ποιότητα που αποζητούν με πραγματική λαχτάρα τα σημερινά παιδιά.",Screen shot 2013-04-08 at 10.04.34 π.μ..png
"«Αν υπάρχει ζωή, θέλω να τη ζήσω»","Άρχισα να γράφω στο Κάθισμα του Αγίου Ιωάννου του Θεολόγου, κοντά στον αρσανά της Σιμωνόπετρας. Τελείωσα αργότερα, στο νησί του Αγίου Ιωάννου του Θεολόγου, στην Πάτμο, στο Κουβάρι. Και οι δύο τόποι ησυχαστικοί και ερημικοί. Σημεία προσευχής. Συνολικά χρειάστηκαν λίγες μόνο μέρες. Συντροφιά μου ο αρχοντικός μαθητής της αγάπης. Ο ειλικρινά αγαπών και όντως ηγαπημένος. Το κείμενο δεν μπορούσε παρά να είναι καρπός αγάπης και ησυχίας, είναι καρπός ερήμου. Θα έλεγα και προσευχής, αλλά φοβούμαι τις παρεξηγήσεις των νοσηρών υπερβολών.

Τα ερωτήματα -επέλεξα εκατό για να είναι στρογγυλός ο αριθμός- και ο διάλογος είναι όλα αυθεντικά. Τα πρόσωπα είναι επίσης αληθινά, αν και με διαφορετικά προφανώς ονόματα. Η συζήτηση δεν είναι αυτοτελής, αλλά αποτελεί μια σύνθεση με επιλογή ερωτημάτων. Όλα αυτά όμως δεν έχουν ιδιαίτερη σημασία. Αυτό που βαραίνει είναι μέσα από αυτά να φανεί αυθεντικά η ανθρώπινη φύση και καθαρά το πρόσωπο του αληθινού Θεού. Δεν υπάρχει τίποτα που να αξίζει περισσότερο σε αυτή τη ζωή.",-.jpg
«Αγάπη για πάντα»,"""Αγαπώ το παιδί μου"" λέει μια μάνα και το παίρνει συνέχεια τηλέφωνο. Λέει ότι το κάνει από αγάπη. ""Να δω τι κάνει, πού είναι"". Η πραγματικότητα δεν είναι αυτή. Το κάνει διότι δεν αντέχει να της φύγει το παιδί μέσα απ' τα χέρια και ν' ανοιχτεί στη δική του ζωή. ""Και με ποιους είσαι; Και γιατί αργείς; Και ποιός μιλάει δίπλα σου, ποια είναι αυτή;"" Πρόκειται για καχυποψία κι αρρωστημένη σχέση. Αυτό δεν είναι αγάπη. Αγάπη θα πει δόσιμο, θα πει ""θέλω ν' ανοίξεις τα φτερά σου. θέλω το καλό σου"".

Αν έχεις την αληθινή αγάπη, θες μόνο το καλό αυτού που αγαπάς. Κι αυτό, ξέρεις τι κάνει τον άνθρωπό σου; Να σ' αγαπά ακόμα πιο πολύ. Να μη ξεκολλά από πάνω σου. Γιατί δεν ξεκολλά; Γιατί εσύ τον αφήνεις να ξεκολλήσει. Όταν αφήνεις κάποιον να ξεκολλήσει από πάνω σου, δεν ξεκολλά. Όταν τον τραβάς με το ζόρι, γίνεσαι απωθητικός και απωθητική. Και πετυχαίνει το αντίθετο. Η αγάπη πάει μαζί με την ελευθερία. ""Σ' αγαπώ, και σ' αφήνω ελεύθερη, και σ' αφήνω ελεύθερο να κάνεις ό,τι θέλεις"". Και λες εσύ τότε: ""με τόση αγάπη που μου δείχνεις, με κάνεις και σε θέλω πιο πολύ. Διότι με σέβεσαι"".

Ο Θεός αυτό κάνει. Μας σέβεται κάθε στιγμή της ζωής μας. Και μας αγαπά, σαν το φως του ήλιου και σαν τη βροχή, που πέφτει παντού. Κάθε μέρα ο ήλιος ανατέλλει για όλο τον κόσμο υπενθυμίζοντας διαρκώς την αιώνια θεϊκή αγάπη. Όταν βλέπεις τον ήλιο να λάμπει, είναι σα να σου λέει ο Χριστός: ""Και σήμερα πάλι σ' αγαπώ και ας ήσουν ό,τι ήσουν χθες. Και σήμερα σου δίνω ευκαιρία για νέες επιλογές. Κι όταν πέφτει η βροχή Μου, δεν ξεχωρίζει καλούς και κακούς. Όλους τους δροσίζει. Όλα τα σπίτια τα ποτίζει. Όλα τα χωράφια. Και το δικό σου..."".",36540.jpg
«Ο Αλχημιστής»,"'Ενας νεαρός Ισπανός βοσκός, ο Σαντιάγο, αποφασίζει ν' αναζητήσει τη μοίρα του. Η αναζήτησή του θα τον οδηγήσει στη Σαχάρα και τις πυραμίδες της Αιγύπτου. Στο ταξίδι του θα γνωρίσει σοφούς βασιλιάδες και αλχημιστές. 
Ακολουθώντας τα σημάδια της μοίρας, θα συναντήσει μυστηριώδεις ανθρώπους και θα 'ρθει αντιμέτωπος με παράξενες καταστάσεις. 'Ετσι θα του τεθούν τα θεμελιώδη ερωτήματα της ύπαρξης, που θα τον αλλάξουν για πάντα. Θ' ανακαλύψει όμως ότι, όταν μπορεί κανείς να συγκεντρώνεται στο παρόν, τότε είναι ένας ευτυχισμένος άνθρωπος. 'Οπως είπε και ο ίδιος ο συγγραφέας μιλώντας για τον Αλχημιστή, ""το σύμπαν συνωμοτεί για να μας βοηθήσει, όταν προσπαθούμε να ζήσουμε το προσωπικό μας όνειρο"". 
Μέσα απ' αυτό το συγκλονιστικό βιβλίο, όπου συναντιέται ο μυστικισμός του Μεσαίωνα με το τραγούδι της ερήμου, ο Κοέλο μάς ανοίγει το παλιό μονοπάτι για τη γνώση του κόσμου: αυτό που περνά από την καρδιά.",0012458.jpg
«Ακατανίκητοι»,45 δυνατές ιστορίες επιμονής και θριάμβου από ανθρώπους ακριβώς σαν κι εσάς,0066693.jpg
«Walden ή Η ζωή στο δάσος»,"Το 1845 ένας νεαρός απόφοιτος του Χάρβαρντ εγκαταλείπει την πόλη και αποφασίζει να ζήσει στις όχθες της λίμνης Ουόλντεν, κοντά στο Κόνκορντ της Μασαχουσέτης. Ο άντρας αυτός δεν ήταν άλλος από τον μετέπειτα σημαντικό Αμερικανό συγγραφέα και φιλόσοφο Χένρι Ντέιβιντ Θορώ, πρωτεργάτη για πολλούς των σύγχρονων οικολογικών κινημάτων. Χτίζει μόνος του μια μικρή καλύβα, φυτεύει ένα χωράφι με φασολιές, τρέφεται κατά κύριο λόγο με φρούτα και λαχανικά. Διαβάζει, γράφει, στοχάζεται, κρατάει ημερολόγιο, ανακαλύπτει τη δύναμη της επαφής με τη φύση. Για τα επόμενα δύο χρόνια προσπαθεί να συνδυάσει ""την ευρωστία των αγρίων με την πνευματικότητα του πολιτισμένου ανθρώπου"", υιοθετώντας έναν τρόπο ζωής που έρχεται σε αντίθεση με το πνεύμα εκβιομηχάνισης της εποχής του.
Στο ""Walden ή Η ζωή στο δάσος"", βιβλίο που κατέχει θέση παγκόσμιας διαθήκης του συγγραφέα, ο Θορώ περιγράφει το ριζοσπαστικό όσο και ουτοπικό του εγχείρημα της επιστροφής στη φύση με τρόπο καίριο και συγχρόνως αφοπλιστικό. Δεν είναι τυχαίο ότι, έπειτα από σχεδόν ενάμιση αιώνα, το έργο εξακολουθεί να συγκινεί και να διατηρεί έναν επίκαιρο προβληματισμό, αφού επισημαίνει, σχεδόν προφητικά, τις αρνητικές συνέπειες της απομάκρυνσης του ανθρώπου από το περιβάλλον.",κατάλογος.jpg
«Να ζεις ν αγαπάς και να μαθαίνεις»,"Το «Να ζεις, ν' αγαπάς και να μαθαίνεις», είναι ένα από τα καλύτερα και πιο πολυδιαβασμένα βιβλία του Λεό Μπουσκάλια. Είναι ένας ολόκληρος θησαυρός και μία ατελείωτη πηγή έμπνευσης, θάρρους και αποφασιστικότητας για όλους όσοι αναζητούν μία καινούργια διάσταση στην προσωπικότητα τους και στη ζωή τους μέσα από τους δρόμους της κατανόησης και της αγάπης. Καθηγητής της παιδαγωγικής στο Πανεπιστήμιο της Νότιας Καλιφόρνιας, ψυχολόγος και συναρπαστικός ομιλητής, ο Μπουσκάλια σε καθηλώνει και σε μεταμορφώνει με τα βιβλία του, που όλα σχεδόν πηγάζουν από ομιλίες, διαλέξεις και ελεύθερες συζητήσεις μέσα και έξω από τις πανεπιστημιακές αίθουσες, «φωνάζει, μιμείται, γελά, δακρύζει και κλαίει», γράφει ένας σχολίαστης και συμπληρώνει: «Το να παρακολουθείς το Μπουσκάλια να μιλά είναι σαν να κουβεντιάζεις μ' έναν παλιό φίλο πάνω σ' ένα κοινό και ποθητό θέμα».",9789602751817.jpg
"«Αγάπη, η χαραμάδα της αιωνιότητας»","Αγάπη είναι η ενοίκηση κάποιου άλλου εντός του δικού μας προσώπου. Αγάπη είναι μια παρουσία. Όταν κοιτάζουμε το αγαπημένο μας πρόσωπο, στο βλέμμα μας έχει ανέβει ολόκληρη η ψυχή μας. Αγάπη είναι η γνώση πώς αποτελούμε ζευγάρι και η αίσθηση πως είμαστε ένα με κάθε ζευγάρι που βλέπουμε - δύο εραστές, δύο σύννεφα, δύο περιστέρια που πετούν στον ουρανό, δύο αστέρια...
Όλα τα φυτά, τα ζώα και τα πράγματα έχουν οικογενειακά χαρακτηριστικά και αντιγράφουν το ένα το άλλο. Υπάρχουν έντομα που μιμούνται φυτά και φυτά που μιμούνται έντομα· ζώα που είναι σαν το νερό, σαν τους βράχους, σαν την άμμο της ερήμου, σαν το χιόνι, σαν τα δέντρα...
Καθετί στη φύση προσπαθεί να διαρρήξει τα ίδια του τα όρια. Όλα τα πλάσματα στον πιο κρυφό τους εαυτό και στα κατάβαθα της ύπαρξής πεινούν και διψούν για αγάπη...

Ένα υπέροχος ύμνος στην αγάπη των ανθρώπων, της φύσης και του Θεού, από έναν υποψήφιο Νομπελίστα ποιητή!",b152506.jpg
«Φωνή αύρας λεπτής...»,"Όσο ψηλότερα ανεβαίνει κανείς, όπως μας λένε οι επιστήμονες, τόσο η βαρύτητα αδυνατίζει, τόσο λιγότερο αισθάνεται την έλξη της γης, τόσο χαλαρώνουν οι δεσμοί μαζί της, τόσο πιο εύκολα μπορεί να αποχωρισθεί από την απαιτητική και διεκδικητική παρουσία της, τόσο πιο ανάλαφρος γίνεται.
Άλλα και τόσο πιο κοντά αισθάνεται προς τον ουρανό, ο όποιος είναι μεν ασαφής, άλλα είναι τόσο υπαρκτός και τόσο ποθητός! Αν και λιγότερο ψηλαφητός, μοιάζει πιο αληθινός από τη γη. Όσο πιο ψηλά ανεβαίνει κανείς, τόσο ο αέρας καθαρίζει, η ακοή εκλεπτύνεται, ο ορίζοντας διευρύνεται, η σχέση με το αληθινό εντείνεται. Η αλήθεια είναι πιο πειστική από την πραγματικότητα...
Tα έξι κείμενα του τόμου αυτού εξηγούν το πώς το μοναχικό ήθος παραπέμπει στο ήθος του Σταυρού και επεκτείνονται στην ψηλάφηση λεπτών εσωτερικών κινήσεων - εκείνων των κινήσεων που μας αξιώνουν να αντικρίζουμε την πνευματική μας ζωή ως όρος άγιον προς ανάβαση.",b114231.jpg